source_cleaned,MTPE
Interdisciplinarity: Is there room for It in undergraduate engineering education's futures?,학제간 연구: 학부 공학 교육의 미래에 학제간 연구의 여지가 존재하는가.
"Today, let's observe the short agenda as shown on this slide.",오늘은 이 슬라이드에 표시된 짧은 안건을 살펴보겠습니다.
"First, let's speak about our possible futures and how those are shaped by many agents of change.","먼저, 가능성이 있는 미래와 그 미래가 다양한 변화의 주체에 의해 어떻게 형성되는지에 대해 이야기해 봅시다."
"There are pulls of the future caused by agents of change, such as social, technological, environmental, economic, and political.","사회, 기술, 환경, 경제, 정치 등 변화의 주체로 인해 발생하는 미래의 견인력이 있습니다."
There are pushes of the present like the momentum to go interdisciplinary in addressing complex problems of the world.,세계의 복잡한 문제를 해결하기 위해 학제간 연구를 추진하는 추진력과 같은 현재의 추진이 있습니다.
And there are weights of the past like the tendency to go deeper and deeper into specializations in what looked like academic silos.,그리고 학문적 사일로처럼 보였던 전문 분야에 점점 더 깊이 들어가려는 경향과 같은 과거의 무게가 있습니다.
"Second, what is interdisciplinary?","둘째, 학제간이란 무엇입니까?"
A quick search by google would get as many as 410 million results.,Google로 빠르게 검색하면 최대 4억 1천만 개의 결과를 얻을 수 있습니다.
Top most would be an over simplified definition.,상위 결과는 지나치게 단순화된 정의입니다.
Such as interdisciplinary involves the combination of multiple academic disciplines into one activity.,학제간 연구와 같이 여러 학문 분야를 하나의 활동으로 결합하는 것이 포함됩니다.
Followed by many examples of interdisciplinary journals and academic departments in universities.,이어서 대학에서는 학제간 논문집과 학과 설립 등 많은 사례가 있었습니다.
And master's degree programs and research projects and more of those up to hundreds of millions of examples.,그리고 석사 학위 프로그램과 연구 프로젝트 등 최대 수억 개의 사례가 있습니다.
"Meanwhile, if we did a search of journal articles, say until year 2022, we could find nearly 100 000 act as interdisciplinary in the title abstract or key words.","한편, 2022년까지 저널 기사를 검색하면 제목 초록이나 키워드에서 학제 간 활동을 거의 100,000개 찾을 수 있습니다."
There has been an accelerated increase in the accumulative total number of articles over the past 100 years.,지난 100년 동안 누적 논문 수의 증가가 가속화되었습니다.
"Looking at 5 journals with the top numbers of accumulated articles, there have been overall increases over the past 50 years.",누적 논문 수가 가장 많은 5개 저널을 살펴보면 지난 50년간 전체적으로 증가세가 나타났습니다.
"And we might ask, under what subject areas.",그리고 어떤 영역이 주제가 될지 질문할 수도 있습니다.
These are all the subject areas in such databases.,이는 해당 데이터베이스의 모든 주제 영역입니다.
"Admittedly, these subject areas are not fully exclusive of each other.",물론 이러한 주제 영역이 서로 완전히 배타적인 것은 아닙니다.
But authors would consent to associate their articles with any of these subjects.,그러나 저자진은 이러한 주제와 관련된 논문을 집필하고자 할 것입니다.
"So let's observe in the four subject areas of arts and humanities, engineering, medicine, and social sciences.","그럼 예술과 인문학, 공학, 의학, 사회과학의 네 가지 주제 영역을 살펴보겠습니다."
Here are the subject areas where interdisciplinary has been highlighted by many journal articles.,다음은 많은 저널 기사에서 학제간 연구가 강조된 주제 영역입니다.
"While 26% were under medicine, only 4.3% were in engineering.","26%가 의학 분야에 종사하고 있는 반면, 공학 분야에 종사하는 경우는 4.3%에 불과했습니다."
"By the way, there have been indications that multidisciplinary is treated different from interdisciplinary.","그런데, 다학제는 학제간과는 다르게 취급된다는 징후가 있었습니다."
Indeed interdisciplinary is treated different from trans disciplinary.,실제로 학제간 연구는 학제간과 다르게 취급됩니다.
"Multidisciplinary, interdisciplinary and transdisciplinary are not one and the same.","다학제, 학제간 및 초학문적 접근은 하나가 아니며 동일하지 않습니다."
"We could go by definitions descriptions or typologies from this handbook of year 2017, for example.","예를 들어, 2017년 발간된 이 핸드북의 정의 또는 유형 분류에 관한 설명을 따를 수 있습니다."
In the middle of today's agenda is interdisciplinary or interdisciplinarity.,오늘의 의제의 중심에는 학제 간 또는 학제 간이 있습니다.
"It is described to involve interacting, integrating, focusing, blending, and linking the intra-academic integration of different types of disciplinary knowledge.","이는 다양한 유형의 학문적 지식의 학문 내 통합을 상호 작용하고, 통합하고, 집중하고, 혼합하고 연결하는 것을 포함하는 것이라 설명할 수 있습니다."
"In contrast, multi disciplinary on the left is much less than that.",이에 비해 왼편에 있는 다학문은 그보다 훨씬 적습니다.
It is merely coordinating among disciplines.,단지 학문 분야 간의 공동 작업일 뿐입니다.
In contrast also transdisciplinary on the right is much more than that.,대조적으로 오른쪽의 초학제는 그보다 많습니다.
It is fully synthesizing all knowledge that is co produced among academic and non-academic actors.,학문적 행위자와 비학술적 행위자 사이에서 공동으로 생산되는 모든 지식을 완벽하게 종합하는 것입니다.
In today's agenda we presume that interdisciplinarity is what we need with undergraduate engineering education.,오늘의 의제에서는 학제간이 학부 공학 교육의 필수 요소라고 가정합니다.
"Third, let us give the examples of eleven engineering professions in the Philippines.","셋째, 필리핀의 11개 엔지니어링 직업의 예를 들어보겠습니다."
As they are regulated both at the level of higher education and upon entry into professional practice.,고등 교육 수준과 전문 실무에 들어갈 때 규제됩니다.
Basic education in the Philippines has been recently reformed prompting revisions of higher education by year 2018.,필리핀의 기본 교육은 최근 2018년에 고등 교육이 개정되었습니다.
"The commission on higher education or CHED regulates the Bachelor of Science programs in engineering, as well as in other higher education.",고등교육 위원회(CHED)는 공학 및 기타 고등교육 분야의 이학사 프로그램을 규제합니다.
"The professional regulation commission , PRC regulates the practice of 45 professions.",전문 규제 위원회(PRC)는 45개 직업의 관행을 규제합니다.
Including 11 in engineering.,공학 분야에는 11개가 포함됩니다.
To our knowledge these 11 engineering professions started to be regulated by government at different times from more than 100 years ago.,우리가 아는 바에 따르면 이 11개의 공학 직업은 100여년 전부터 서로 다른 시기에 정부의 규제를 받기 시작했습니다.
